# Expected threshold = 0.00
# SNR, histogram, survival histogram, random survival histogram
-5.493164 465628.000000 35863414461763.000000 38111186780160.000000
-5.424805 662124.000000 35863413996135.000000 38111186780160.000000
-5.356445 867303.000000 35863413334011.000000 38111182585856.000000
-5.288086 1302511.000000 35863412466708.000000 38111182585856.000000
-5.219727 1836271.000000 35863411164197.000000 38111182585856.000000
-5.151367 2382056.000000 35863409327926.000000 38111182585856.000000
-5.083008 3538248.000000 35863406945870.000000 38111178391552.000000
-5.014648 4945057.000000 35863403407622.000000 38111178391552.000000
-4.946289 6343076.000000 35863398462565.000000 38111174197248.000000
-4.877930 9322764.000000 35863392119489.000000 38111165808640.000000
-4.809570 12620767.000000 35863382796725.000000 38111157420032.000000
-4.741211 16245065.000000 35863370175958.000000 38111144837120.000000
-4.672852 24515215.000000 35863353930893.000000 38111128059904.000000
-4.604492 31284492.000000 35863329415678.000000 38111107088384.000000
-4.536133 40385940.000000 35863298131186.000000 38111077728256.000000
-4.467773 60219339.000000 35863257745246.000000 38111035785216.000000
-4.399414 75866368.000000 35863197525907.000000 38110981259264.000000
-4.331055 108831842.000000 35863121659539.000000 38110905761792.000000
-4.262695 130566160.000000 35863012827697.000000 38110800904192.000000
-4.194336 177317380.000000 35862882261537.000000 38110662492160.000000
-4.125977 251146584.000000 35862704944157.000000 38110482137088.000000
-4.057617 297520880.000000 35862453797573.000000 38110243061760.000000
-3.989258 399153848.000000 35862156276693.000000 38109924294656.000000
-3.920898 557887040.000000 35861757122845.000000 38109504864256.000000
-3.852539 652542752.000000 35861199235805.000000 38108959604736.000000
-3.784180 864526144.000000 35860546693053.000000 38108246573056.000000
-3.715820 1063079920.000000 35859682166909.000000 38107328020480.000000
-3.647461 1506191040.000000 35858619086989.000000 38106141032448.000000
-3.579102 1801232672.000000 35857112895949.000000 38104618500096.000000
-3.510742 2186898944.000000 35855311663277.000000 38102672343040.000000
-3.442383 3057839552.000000 35853124764333.000000 38100197703680.000000
-3.374023 3607881792.000000 35850066924781.000000 38097072947200.000000
-3.305664 4325113472.000000 35846459042989.000000 38093130301440.000000
-3.237305 5967222144.000000 35842133929517.000000 38088193605632.000000
-3.168945 6946315520.000000 35836166707373.000000 38082032173056.000000
-3.100586 8220542464.000000 35829220391853.000000 38074381762560.000000
-3.032227 11190666240.000000 35820999849389.000000 38064927801344.000000
-2.963867 12364428032.000000 35809809183149.000000 38053296996352.000000
-2.895508 17277020160.000000 35797444755117.000000 38039053139968.000000
-2.827148 19102939136.000000 35780167734957.000000 38021692915712.000000
-2.758789 21259408896.000000 35761064795821.000000 38000633315328.000000
-2.690430 30291474432.000000 35739805386925.000000 37975207444480.000000
-2.622070 33028738560.000000 35709513912493.000000 37944647745536.000000
-2.553711 36288432128.000000 35676485173933.000000 37908090191872.000000
-2.485352 51004057600.000000 35640196741805.000000 37864561704960.000000
-2.416992 54326858752.000000 35589192684205.000000 37812980154368.000000
-2.348633 60581212160.000000 35534865825453.000000 37752133386240.000000
-2.280273 82566662144.000000 35474284613293.000000 37680691806208.000000
-2.211914 85907666944.000000 35391717951149.000000 37597208379392.000000
-2.143555 95326195712.000000 35305810284205.000000 37500101853184.000000
-2.075195 128130025472.000000 35210484088493.000000 37387677728768.000000
-2.006836 131456288768.000000 35082354063021.000000 37258124066816.000000
-1.938477 143978688512.000000 34950897774253.000000 37109528264704.000000
-1.870117 190847340544.000000 34806919085741.000000 36939885445120.000000
-1.801758 193059254272.000000 34616071745197.000000 36747119427584.000000
-1.733398 208699174912.000000 34423012490925.000000 36529099505664.000000
-1.665039 272794505216.000000 34214313316013.000000 36283661418496.000000
-1.596680 272076275712.000000 33941518810797.000000 36008645099520.000000
-1.528320 290277335040.000000 33669442535085.000000 35701932425216.000000
-1.459961 374142459904.000000 33379165200045.000000 35361447215104.000000
-1.391602 367890391040.000000 33005022740141.000000 34985249603584.000000
-1.323242 387358023680.000000 32637132349101.000000 34571517165568.000000
-1.254883 492292464640.000000 32249774325421.000000 34118635094016.000000
-1.186523 475038212096.000000 31757481860781.000000 33625200394240.000000
-1.118164 500370030592.000000 31282443648685.000000 33090097381376.000000
-1.049805 621546979328.000000 30782073618093.000000 32512501874688.000000
-0.981445 588561563648.000000 30160526638765.000000 31891950403584.000000
-0.913086 614375931904.000000 29571965075117.000000 31228356984832.000000
-0.844727 752407412736.000000 28957589143213.000000 30522038288384.000000
-0.776367 702373462016.000000 28205181730477.000000 29773751386112.000000
-0.708008 837133107200.000000 27502808268461.000000 28984693751808.000000
-0.639648 761620561920.000000 26665675161261.000000 28156522135552.000000
-0.571289 800290471936.000000 25904054599341.000000 27291350466560.000000
-0.502930 944364109824.000000 25103764127405.000000 26391733075968.000000
-0.434570 848979755008.000000 24159400017581.000000 25460666793984.000000
-0.366211 878330855424.000000 23310420262573.000000 24501536423936.000000
-0.297852 1021708664832.000000 22432089407149.000000 23518100062208.000000
-0.229492 905508700160.000000 21410380742317.000000 22514440863744.000000
-0.161133 924394405888.000000 20504872042157.000000 21494923001856.000000
-0.092773 1059988045824.000000 19580477636269.000000 20464114073600.000000
-0.024414 926138236928.000000 18520489590445.000000 19426751545344.000000
0.043945 932917575680.000000 17594351353517.000000 18387656769536.000000
0.112305 1054545969152.000000 16661433777837.000000 17351677313024.000000
0.180664 908331827200.000000 15606887808685.000000 16323617751040.000000
0.249023 902863339520.000000 14698555981485.000000 15308170461184.000000
0.317383 1006084702208.000000 13795692641965.000000 14309859000320.000000
0.385742 854330097664.000000 12789607939757.000000 13332962607104.000000
0.454102 837957124096.000000 11935277842093.000000 12381480550400.000000
0.522461 920523079680.000000 11097320717997.000000 11459070263296.000000
0.590820 768938934272.000000 10176797638317.000000 10569010642944.000000
0.659180 749208928256.000000 9407858704045.000000 9714168496128.000000
0.727539 807719469056.000000 8658649775789.000000 8896976519168.000000
0.795898 663752327168.000000 7850930306733.000000 8119418093568.000000
0.864258 639678971904.000000 7187177979565.000000 7383018897408.000000
0.932617 679900119040.000000 6547499007661.000000 6688849526784.000000
1.000977 550879985664.000000 5867598888621.000000 6037539127296.000000
1.069336 523942854656.000000 5316718902957.000000 5429287976960.000000
1.137695 549056823296.000000 4792776048301.000000 4863897370624.000000
1.206055 436757094400.000000 4243719225005.000000 4340795834368.000000
1.274414 415403458560.000000 3806962130605.000000 3859076087808.000000
1.342773 425291104256.000000 3391558672045.000000 3417532268544.000000
1.411133 332157812736.000000 2966267567789.000000 3014698991616.000000
1.479492 349669515264.000000 2634109755053.000000 2648895913984.000000
1.547852 279882719232.000000 2284440239789.000000 2318266007552.000000
1.616211 243598475264.000000 2004557520557.000000 2020821303296.000000
1.684570 252930473984.000000 1760959045293.000000 1754477232128.000000
1.752930 199623667712.000000 1508028571309.000000 1517093781504.000000
1.821289 171505434624.000000 1308404903597.000000 1306507214848.000000
1.889648 175651844096.000000 1136899468973.000000 1120564150272.000000
1.958008 136707442688.000000 961247624877.000000 957145481216.000000
2.026367 115947483136.000000 824540182189.000000 814191607808.000000
2.094727 117144694784.000000 708592699053.000000 689723080704.000000
2.163086 89913737216.000000 591448004269.000000 581854494720.000000
2.231445 75289272320.000000 501534267053.000000 488807301120.000000
2.299805 75045015552.000000 426244994733.000000 408919506944.000000
2.368164 57270814720.000000 351199979181.000000 340649410560.000000
2.436523 46113678336.000000 293929164461.000000 282579337216.000000
2.504883 46258832384.000000 247815486125.000000 233415737344.000000
2.573242 35098674176.000000 201556653741.000000 191986434048.000000
2.641602 27646441984.000000 166457979565.000000 157237411840.000000
2.709961 27369942528.000000 138811537581.000000 128227246080.000000
2.778320 20484337664.000000 111441595053.000000 104121163776.000000
2.846680 15933514496.000000 90957257389.000000 84183392256.000000
2.915039 15569553920.000000 75023742893.000000 67770114048.000000
2.983398 11495433728.000000 59454188973.000000 54321143808.000000
3.051758 8831267328.000000 47958755245.000000 43352526848.000000
3.120117 8518405376.000000 39127487917.000000 34448547840.000000
3.188477 6205356672.000000 30609082541.000000 27254192128.000000
3.256836 4708795520.000000 24403725869.000000 21468317696.000000
3.325195 4484235904.000000 19694930349.000000 16836886528.000000
3.393555 3223485888.000000 15210694445.000000 13146795008.000000
3.461914 2416573888.000000 11987208557.000000 10220433408.000000
3.530273 2272344000.000000 9570634669.000000 7910560256.000000
3.598633 1612016320.000000 7298290669.000000 6095779328.000000
3.666992 1387600832.000000 5686274349.000000 4676627456.000000
3.735352 915691984.000000 4298673517.000000 3572032256.000000
3.803711 776712544.000000 3382981533.000000 2716270080.000000
3.872070 660093712.000000 2606268989.000000 2056382592.000000
3.940430 430213824.000000 1946175277.000000 1549902464.000000
4.008789 360728856.000000 1515961453.000000 1162979968.000000
4.077148 302787920.000000 1155232597.000000 868771776.000000
4.145508 195002508.000000 852444677.000000 646101952.000000
4.213867 161681868.000000 657442169.000000 478361952.000000
4.282227 134071776.000000 495760301.000000 352590592.000000
4.350586 85346642.000000 361688525.000000 258725952.000000
4.418945 70004384.000000 276341883.000000 189000480.000000
4.487305 57374021.000000 206337499.000000 137447904.000000
4.555664 36128755.000000 148963478.000000 99508992.000000
4.624023 29331885.000000 112834723.000000 71719008.000000
4.692383 23775907.000000 83502838.000000 51458004.000000
4.760742 14587621.000000 59726931.000000 36754884.000000
4.829102 12330085.000000 45139310.000000 26134826.000000
4.897461 9525299.000000 32809225.000000 18499744.000000
4.965820 5692783.000000 23283926.000000 13036178.000000
5.034180 4883867.000000 17591143.000000 9144764.000000
5.102539 3132278.000000 12707276.000000 6386040.500000
5.170898 2823610.000000 9574998.000000 4439405.000000
5.239258 1887323.000000 6751388.000000 3072211.500000
5.307617 1206232.000000 4864065.000000 2116460.750000
5.375977 1080567.000000 3657833.000000 1451440.125000
5.444336 720859.000000 2577266.000000 990873.312500
5.512695 457145.000000 1856407.000000 673386.500000
5.581055 411150.000000 1399262.000000 455551.562500
5.649414 273430.000000 988112.000000 306787.218750
5.717773 174126.000000 714682.000000 205664.687500
5.786133 156398.000000 540556.000000 137248.734375
5.854492 104649.000000 384158.000000 91175.367188
5.922852 66623.000000 279509.000000 60293.164062
5.991211 60306.000000 212886.000000 39689.804688
6.059570 40399.000000 152580.000000 26008.134766
6.127930 26102.000000 112181.000000 16965.154297
6.196289 24103.000000 86079.000000 11016.044922
6.264648 16209.000000 61976.000000 7120.465332
6.333008 10593.000000 45767.000000 4581.489258
6.401367 9460.000000 35174.000000 2934.403564
6.469727 6511.000000 25714.000000 1870.884644
6.538086 4443.000000 19203.000000 1187.378784
6.606445 3785.000000 14760.000000 750.139526
6.674805 2967.000000 10975.000000 471.744049
6.743164 2219.000000 8008.000000 295.312378
6.811523 1380.000000 5789.000000 184.020889
6.879883 1261.000000 4409.000000 114.146347
6.948242 896.000000 3148.000000 70.480301
7.016602 487.000000 2252.000000 43.319107
7.084961 529.000000 1765.000000 26.503223
7.153320 355.000000 1236.000000 16.140787
7.221680 236.000000 881.000000 9.784913
7.290039 193.000000 645.000000 5.904657
7.358398 126.000000 452.000000 3.546824
7.426758 64.000000 326.000000 2.120737
7.495117 81.000000 262.000000 1.262228
7.563477 70.000000 181.000000 0.747811
7.631836 29.000000 111.000000 0.441011
7.700195 27.000000 82.000000 0.258886
7.768555 18.000000 55.000000 0.151277
7.836914 11.000000 37.000000 0.087990
7.905273 5.000000 26.000000 0.050944
7.973633 5.000000 21.000000 0.029360
8.041992 2.000000 16.000000 0.016843
8.110352 3.000000 14.000000 0.009618
8.178711 2.000000 11.000000 0.005467
8.247070 2.000000 9.000000 0.003093
8.315430 1.000000 7.000000 0.001742
8.383789 2.000000 6.000000 0.000977
8.452148 2.000000 4.000000 0.000545
8.520508 1.000000 2.000000 0.000303
8.588867 1.000000 1.000000 0.000167
8.657227 0.000000 0.000000 0.000092
8.725586 0.000000 0.000000 0.000050
8.793945 0.000000 0.000000 0.000028
8.862305 0.000000 0.000000 0.000015
8.930664 0.000000 0.000000 0.000008
8.999023 0.000000 0.000000 0.000004
9.067383 0.000000 0.000000 0.000002
9.135742 0.000000 0.000000 0.000001
9.204102 0.000000 0.000000 0.000001
9.272461 0.000000 0.000000 0.000000
9.340820 0.000000 0.000000 0.000000
9.409180 0.000000 0.000000 0.000000
9.477539 0.000000 0.000000 0.000000
9.545898 0.000000 0.000000 0.000000
9.614258 0.000000 0.000000 0.000000
9.682617 0.000000 0.000000 0.000000
9.750977 0.000000 0.000000 0.000000
9.819336 0.000000 0.000000 0.000000
9.887695 0.000000 0.000000 0.000000
9.956055 0.000000 0.000000 0.000000
10.024414 0.000000 0.000000 0.000000
10.092773 0.000000 0.000000 0.000000
10.161133 0.000000 0.000000 0.000000
10.229492 0.000000 0.000000 0.000000
10.297852 0.000000 0.000000 0.000000
10.366211 0.000000 0.000000 0.000000
10.434570 0.000000 0.000000 0.000000
10.502930 0.000000 0.000000 0.000000
10.571289 0.000000 0.000000 0.000000
10.639648 0.000000 0.000000 0.000000
10.708008 0.000000 0.000000 0.000000
10.776367 0.000000 0.000000 0.000000
10.844727 0.000000 0.000000 0.000000
10.913086 0.000000 0.000000 0.000000
10.981445 0.000000 0.000000 0.000000
11.049805 0.000000 0.000000 0.000000
11.118164 0.000000 0.000000 0.000000
11.186523 0.000000 0.000000 0.000000
11.254883 0.000000 0.000000 0.000000
11.323242 0.000000 0.000000 0.000000
11.391602 0.000000 0.000000 0.000000
11.459961 0.000000 0.000000 0.000000
11.528320 0.000000 0.000000 0.000000
11.596680 0.000000 0.000000 0.000000
11.665039 0.000000 0.000000 0.000000
11.733398 0.000000 0.000000 0.000000
11.801758 0.000000 0.000000 0.000000
11.870117 0.000000 0.000000 0.000000
11.938477 0.000000 0.000000 0.000000
12.006836 0.000000 0.000000 0.000000
12.075195 0.000000 0.000000 0.000000
12.143555 0.000000 0.000000 0.000000
12.211914 0.000000 0.000000 0.000000
12.280273 0.000000 0.000000 0.000000
12.348633 0.000000 0.000000 0.000000
12.416992 0.000000 0.000000 0.000000
12.485352 0.000000 0.000000 0.000000
12.553711 0.000000 0.000000 0.000000
12.622070 0.000000 0.000000 0.000000
12.690430 0.000000 0.000000 0.000000
12.758789 0.000000 0.000000 0.000000
12.827148 0.000000 0.000000 0.000000
12.895508 0.000000 0.000000 0.000000
12.963867 0.000000 0.000000 0.000000
13.032227 0.000000 0.000000 0.000000
13.100586 0.000000 0.000000 0.000000
13.168945 0.000000 0.000000 0.000000
13.237305 0.000000 0.000000 0.000000
13.305664 0.000000 0.000000 0.000000
13.374023 0.000000 0.000000 0.000000
13.442383 0.000000 0.000000 0.000000
13.510742 0.000000 0.000000 0.000000
13.579102 0.000000 0.000000 0.000000
13.647461 0.000000 0.000000 0.000000
13.715820 0.000000 0.000000 0.000000
13.784180 0.000000 0.000000 0.000000
13.852539 0.000000 0.000000 0.000000
13.920898 0.000000 0.000000 0.000000
13.989258 0.000000 0.000000 0.000000
14.057617 0.000000 0.000000 0.000000
14.125977 0.000000 0.000000 0.000000
14.194336 0.000000 0.000000 0.000000
14.262695 0.000000 0.000000 0.000000
14.331055 0.000000 0.000000 0.000000
14.399414 0.000000 0.000000 0.000000
14.467773 0.000000 0.000000 0.000000
14.536133 0.000000 0.000000 0.000000
14.604492 0.000000 0.000000 0.000000
14.672852 0.000000 0.000000 0.000000
14.741211 0.000000 0.000000 0.000000
14.809570 0.000000 0.000000 0.000000
14.877930 0.000000 0.000000 0.000000
14.946289 0.000000 0.000000 0.000000
15.014648 0.000000 0.000000 0.000000
15.083008 0.000000 0.000000 0.000000
15.151367 0.000000 0.000000 0.000000
15.219727 0.000000 0.000000 0.000000
15.288086 0.000000 0.000000 0.000000
15.356445 0.000000 0.000000 0.000000
15.424805 0.000000 0.000000 0.000000
15.493164 0.000000 0.000000 0.000000
15.561523 0.000000 0.000000 0.000000
15.629883 0.000000 0.000000 0.000000
15.698242 0.000000 0.000000 0.000000
15.766602 0.000000 0.000000 0.000000
15.834961 0.000000 0.000000 0.000000
15.903320 0.000000 0.000000 0.000000
15.971680 0.000000 0.000000 0.000000
16.040039 0.000000 0.000000 0.000000
16.108398 0.000000 0.000000 0.000000
16.176758 0.000000 0.000000 0.000000
16.245117 0.000000 0.000000 0.000000
16.313477 0.000000 0.000000 0.000000
16.381836 0.000000 0.000000 0.000000
16.450195 0.000000 0.000000 0.000000
16.518555 0.000000 0.000000 0.000000
16.586914 0.000000 0.000000 0.000000
16.655273 0.000000 0.000000 0.000000
16.723633 0.000000 0.000000 0.000000
16.791992 0.000000 0.000000 0.000000
16.860352 0.000000 0.000000 0.000000
16.928711 0.000000 0.000000 0.000000
16.997070 0.000000 0.000000 0.000000
17.065430 0.000000 0.000000 0.000000
17.133789 0.000000 0.000000 0.000000
17.202148 0.000000 0.000000 0.000000
17.270508 0.000000 0.000000 0.000000
17.338867 0.000000 0.000000 0.000000
17.407227 0.000000 0.000000 0.000000
17.475586 0.000000 0.000000 0.000000
17.543945 0.000000 0.000000 0.000000
17.612305 0.000000 0.000000 0.000000
17.680664 0.000000 0.000000 0.000000
17.749023 0.000000 0.000000 0.000000
17.817383 0.000000 0.000000 0.000000
17.885742 0.000000 0.000000 0.000000
17.954102 0.000000 0.000000 0.000000
18.022461 0.000000 0.000000 0.000000
18.090820 0.000000 0.000000 0.000000
18.159180 0.000000 0.000000 0.000000
18.227539 0.000000 0.000000 0.000000
18.295898 0.000000 0.000000 0.000000
18.364258 0.000000 0.000000 0.000000
18.432617 0.000000 0.000000 0.000000
18.500977 0.000000 0.000000 0.000000
18.569336 0.000000 0.000000 0.000000
18.637695 0.000000 0.000000 0.000000
18.706055 0.000000 0.000000 0.000000
18.774414 0.000000 0.000000 0.000000
18.842773 0.000000 0.000000 0.000000
18.911133 0.000000 0.000000 0.000000
18.979492 0.000000 0.000000 0.000000
19.047852 0.000000 0.000000 0.000000
19.116211 0.000000 0.000000 0.000000
19.184570 0.000000 0.000000 0.000000
19.252930 0.000000 0.000000 0.000000
19.321289 0.000000 0.000000 0.000000
19.389648 0.000000 0.000000 0.000000
19.458008 0.000000 0.000000 0.000000
19.526367 0.000000 0.000000 0.000000
19.594727 0.000000 0.000000 0.000000
19.663086 0.000000 0.000000 0.000000
19.731445 0.000000 0.000000 0.000000
19.799805 0.000000 0.000000 0.000000
19.868164 0.000000 0.000000 0.000000
19.936523 0.000000 0.000000 0.000000
20.004883 0.000000 0.000000 0.000000
20.073242 0.000000 0.000000 0.000000
20.141602 0.000000 0.000000 0.000000
20.209961 0.000000 0.000000 0.000000
20.278320 0.000000 0.000000 0.000000
20.346680 0.000000 0.000000 0.000000
20.415039 0.000000 0.000000 0.000000
20.483398 0.000000 0.000000 0.000000
20.551758 0.000000 0.000000 0.000000
20.620117 0.000000 0.000000 0.000000
20.688477 0.000000 0.000000 0.000000
20.756836 0.000000 0.000000 0.000000
20.825195 0.000000 0.000000 0.000000
20.893555 0.000000 0.000000 0.000000
20.961914 0.000000 0.000000 0.000000
21.030273 0.000000 0.000000 0.000000
21.098633 0.000000 0.000000 0.000000
21.166992 0.000000 0.000000 0.000000
21.235352 0.000000 0.000000 0.000000
21.303711 0.000000 0.000000 0.000000
21.372070 0.000000 0.000000 0.000000
21.440430 0.000000 0.000000 0.000000
21.508789 0.000000 0.000000 0.000000
21.577148 0.000000 0.000000 0.000000
21.645508 0.000000 0.000000 0.000000
21.713867 0.000000 0.000000 0.000000
21.782227 0.000000 0.000000 0.000000
21.850586 0.000000 0.000000 0.000000
21.918945 0.000000 0.000000 0.000000
21.987305 0.000000 0.000000 0.000000
22.055664 0.000000 0.000000 0.000000
22.124023 0.000000 0.000000 0.000000
22.192383 0.000000 0.000000 0.000000
22.260742 0.000000 0.000000 0.000000
22.329102 0.000000 0.000000 0.000000
22.397461 0.000000 0.000000 0.000000
22.465820 0.000000 0.000000 0.000000
